Row,t_0_10,t_0_20,t_0_30,t_0_40,t_0_50,t_0_60,t_0_70,t_0_80,t_0_90,t_1_00
alpha1,0.107282756174242,0.111821856202826,0.116501294249384,0.121322344976703,0.12628611780446,0.131393548829271,0.136645393043834,0.142042216899516,0.0552215320173273,0.0577892445100744
alpha2,0.252325032526351,0.254583852583698,0.256748933894858,0.258816783992949,0.260784031457318,0.262647436570805,0.264403901688133,0.266050481263785,0.243268273955784,0.246432385506026
alpha3,0.388067178773056,0.379010438629779,0.370000837960899,0.3610440870374,0.352145819280904,0.343311578029119,0.334546803579899,0.325856820572913,0.458241920071104,0.449345984477874
alpha4,0.252325032526351,0.254583852583698,0.256748933894858,0.258816783992949,0.260784031457318,0.262647436570805,0.264403901688133,0.266050481263785,0.243268273955784,0.246432385506026
