Row,t_0_10,t_0_20,t_0_30,t_0_40,t_0_50,t_0_60,t_0_70,t_0_80,t_0_90,t_1_00
alpha1,0.275602896185646,0.302316902545441,0.329983397098978,2.0506554135687e-11,2.3563652139582e-11,2.70129507105325e-11,3.08964007207924e-11,1.23567750953255e-21,1.43011578262072e-21,1.65106163163177e-21
alpha2,0.249376052140518,0.247516620027929,0.244458416402596,0.299223228072374,0.311111586923845,0.322713087021511,0.333982267630681,0.263093653683429,0.275516363628112,0.287813030079946
alpha3,0.225644999533317,0.202649857398702,0.181099770095831,0.401553543834746,0.377776826128747,0.354573825929965,0.332035464707741,0.473812692633143,0.448967272743776,0.424373939840107
alpha4,0.249376052140518,0.247516620027929,0.244458416402596,0.299223228072374,0.311111586923845,0.322713087021511,0.333982267630681,0.263093653683429,0.275516363628112,0.287813030079947
